sut_build,apfd_complete_double_mut,apfd_complete_single_mut,apfd_reduce_50_100_double_mut,apfd_reduce_75_100_double_mut,apfd_reduce_75_50_double_mut,apfd_reduce_75_75_double_mut,auc_complete_double_mut,auc_complete_single_mut,auc_reduce_50_100_double_mut,auc_reduce_75_100_double_mut,auc_reduce_75_50_double_mut,auc_reduce_75_75_double_mut
Angel-ML@angel-build-572266708,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572
Angel-ML@angel-build-573430804,0.9416666666666668,0.9541666666666666,0.9708333333333334,0.9791666666666669,0.9708333333333334,0.9583333333333336,0.9791666666666669,0.9291666666666666,0.9625,0.9625,0.9791666666666669,0.9791666666666669
Angel-ML@angel-build-617681746,0.9677419354838712,0.9677419354838712,0.9677419354838712,0.9677419354838712,0.9677419354838712,0.9677419354838712,0.9677419354838712,0.9677419354838712,0.9677419354838712,0.9677419354838712,0.9677419354838712,0.9677419354838712
Angel-ML@angel-build-774241138,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001
Angel-ML@angel-build-774621409,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001
apache@logging-log4j2-build-631422399,0.998940677966102,0.998940677966102,0.998940677966102,0.998940677966102,0.998940677966102,0.998940677966102,0.998940677966102,0.998940677966102,0.998940677966102,0.998940677966102,0.998940677966102,0.998940677966102
apache@logging-log4j2-build-655176246,0.9989583333333336,0.9989583333333336,0.9989583333333336,0.9989583333333336,0.9989583333333336,0.9989583333333336,0.9989583333333336,0.9989583333333336,0.9989583333333336,0.9989583333333336,0.9989583333333336,0.9989583333333336
apache@logging-log4j2-build-671139394,0.9988479262672808,0.9988479262672808,0.9988479262672808,0.9988479262672808,0.9988479262672808,0.9988479262672808,0.9988479262672808,0.9988479262672808,0.9988479262672808,0.9988479262672808,0.9988479262672808,0.9988479262672808
apache@logging-log4j2-build-689499689,0.9991721854304636,0.9991721854304636,0.9991721854304636,0.9991721854304636,0.9991721854304636,0.9991721854304636,0.9991721854304636,0.9991721854304636,0.9991721854304636,0.9991721854304636,0.9991721854304636,0.9991721854304636
apache@logging-log4j2-build-719612616,0.9991974317817018,0.9991974317817018,0.9991974317817018,0.9991974317817018,0.9991974317817018,0.9991974317817018,0.9991974317817018,0.9991974317817018,0.9991974317817018,0.9991974317817018,0.9991974317817018,0.9991974317817018
apache@rocketmq-build-756896391,0.7035353535353535,0.6934343434343434,0.6772727272727272,0.6439393939393938,0.6772727272727272,0.6646464646464646,0.6732323232323233,0.6343434343434342,0.6444444444444446,0.6861111111111111,0.6840909090909091,0.6987373737373737
apache@rocketmq-build-769627527,0.943548387096774,0.9432258064516128,0.9403225806451612,0.9509677419354836,0.9403225806451612,0.9422580645161288,0.9387096774193548,0.9448387096774192,0.9419354838709678,0.940967741935484,0.9361290322580644,0.9448387096774192
apache@rocketmq-build-771743118,0.993548387096774,0.9954838709677418,0.992258064516129,0.9948387096774192,0.992258064516129,0.9948387096774192,0.9903225806451612,0.9929032258064516,0.9929032258064516,0.9948387096774192,0.9954838709677418,0.9961290322580644
apache@rocketmq-build-772405229,0.9943820224719102,0.9943820224719102,0.9943820224719102,0.9943820224719102,0.9943820224719102,0.9943820224719102,0.9943820224719102,0.9943820224719102,0.9943820224719102,0.9943820224719102,0.9943820224719102,0.9943820224719102
apache@rocketmq-build-774679068,0.9975490196078434,0.9975490196078434,0.9975490196078434,0.9975490196078434,0.9975490196078434,0.9975490196078434,0.9975490196078434,0.9975490196078434,0.9975490196078434,0.9975490196078434,0.9975490196078434,0.9975490196078434
CompEvol@beast2-build-265895347,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9758064516129032
CompEvol@beast2-build-370392223,0.9833333333333332,0.9833333333333332,0.984126984126984,0.984126984126984,0.984126984126984,0.984126984126984,0.984126984126984,0.984126984126984,0.984126984126984,0.984126984126984,0.984126984126984,0.984126984126984
CompEvol@beast2-build-672670788,0.8692857142857143,0.8735714285714286,0.8728571428571431,0.8721428571428571,0.8728571428571431,0.8678571428571427,0.872142857142857,0.8685714285714285,0.8707142857142858,0.8714285714285716,0.872857142857143,0.8685714285714285
